id_adres,panstwo,kod_pocztowy,poczta,miejscowosc,adres_zamieszkania
1,Polska,47-493,Titusville,Cicero,9371 Risus. Rd.
2,Polska,30-034,DeKalb,Athens,Ap #382-2954 Parturient Street
3,Polska,17-191,Tucson,Clarksville,1690 Nec Road
4,Polska,22-045,Memphis,Kalamazoo,609-2612 Enim, Avenue
5,Polska,97-220,Seaford,Natchitoches,572-9026 Magnis Avenue
6,Polska,54-017,West Memphis,Guayanilla,584-7547 Magna St.
7,Polska,99-284,Shawnee,Brown Deer,760-6619 Odio Rd.
8,Polska,23-926,Los Angeles,Burlington,P.O. Box 459, 7133 Adipiscing Avenue
9,Polska,17-731,Gaithersburg,Binghamton,994-7750 Nam Street
10,Polska,11-275,Wausau,Kona,971-9640 Elit Street
11,Polska,90-182,Midwest City,Naperville,808-4999 Cras Street
12,Polska,78-602,New Orleans,Saint Joseph,2157 Orci Ave
13,Polska,29-692,Bristol,Westfield,P.O. Box 416, 9571 Interdum. St.
14,Polska,39-572,Watertown,Moore,425-6543 Erat Rd.
15,Polska,69-407,Inglewood,Fort Lauderdale,9554 Elit, Road
16,Polska,50-971,Wichita Falls,Brigham City,P.O. Box 694, 1231 Nunc Street
17,Polska,26-602,Chelsea,Half Moon Bay,397-9421 Semper Av.
18,Polska,07-200,Dana Point,Wilkes-Barre,4263 Tempus, Street
19,Polska,48-551,Mesa,Corvallis,9941 Ornare Av.
20,Polska,80-119,Ypsilanti,Marlborough,Ap #135-1918 Sit Avenue
21,Polska,61-357,Phenix City,Lake Charles,770-6815 Sed St.
22,Polska,53-881,Pawtucket,Saukville,1423 Nonummy Ave
23,Polska,79-608,Edina,Avalon,P.O. Box 532, 4567 Arcu. Av.
24,Polska,91-913,El Paso,Walla Walla,P.O. Box 884, 6067 Auctor, Av.
25,Polska,35-433,Hayward,Kalamazoo,P.O. Box 129, 2407 Rutrum Road
26,Polska,30-322,San Juan Capistrano,Pasco,Ap #483-2905 Duis Avenue
27,Polska,83-265,Cedarburg,Egg Harbor,Ap #334-260 Euismod Ave
28,Polska,06-038,Bell Gardens,New York,4082 Est, St.
29,Polska,47-067,Philadelphia,Beloit,333-2372 Fusce Rd.
30,Polska,04-491,Chula Vista,Durant,1763 Lorem St.
31,Polska,67-229,Holyoke,Cincinnati,4171 Sociis Av.
32,Polska,46-155,Palos Verdes Estates,Wheeling,P.O. Box 325, 4048 Pellentesque Avenue
33,Polska,93-524,San Dimas,College Station,9004 Pede Road
34,Polska,68-281,Boulder City,Pittston,733-969 Nullam Rd.
35,Polska,83-072,Barre,Woonsocket,329-2899 Auctor St.
36,Polska,80-454,Huntsville,Houma,Ap #890-4578 A Street
37,Polska,75-038,Riverton,Joplin,563-4308 Placerat St.
38,Polska,55-158,Hannibal,Syracuse,272-8547 Neque Road
39,Polska,75-902,Santa Cruz,LaGrange,Ap #481-2826 Odio Road
40,Polska,28-043,Minneapolis,Shreveport,4965 Ipsum. St.
41,Polska,93-367,Ponce,Santa Barbara,556-4836 Rutrum Rd.
42,Polska,63-977,La Verne,Cleveland,P.O. Box 128, 1551 Morbi Ave
43,Polska,35-926,Vernon,Saipan,P.O. Box 280, 9660 Interdum Street
44,Polska,80-533,Baldwin Park,San Mateo,Ap #851-764 Integer Road
45,Polska,20-090,Belpre,Bossier City,P.O. Box 753, 3504 Vel Ave
46,Polska,05-926,Cape Coral,Crown Point,8260 Ultrices St.
47,Polska,58-661,Hampton,Kent,352-5305 Duis Rd.
48,Polska,53-690,Phoenix,Pascagoula,P.O. Box 376, 9415 Dapibus Ave
49,Polska,84-135,Troy,Chino Hills,7305 Eget Ave
50,Polska,81-117,North Little Rock,Highland Park,Ap #889-1235 Id St.
51,Polska,75-712,Woodruff,Kona,3694 Sed Av.
52,Polska,14-235,Wheaton,Brooklyn Park,544-9478 Volutpat Av.
53,Polska,91-322,Bentonville,Camden,Ap #285-134 Orci Av.
54,Polska,91-410,Gulfport,Mesa,5049 Vel, Av.
55,Polska,47-676,Temecula,Des Moines,918-1430 Magna. Av.
56,Polska,69-208,White Plains,Ephraim,375-1490 Pellentesque Avenue
57,Polska,46-664,Lubbock,Cedar Rapids,6615 Gravida. Street
58,Polska,96-855,Easton,Inglewood,931-9816 Sed Avenue
59,Polska,28-208,Port Washington,Holyoke,P.O. Box 710, 8372 Nec, St.
60,Polska,51-944,Redlands,Carbondale,P.O. Box 936, 9094 Laoreet Road
61,Polska,23-517,Lawton,Claremore,165-2330 Lorem Road
62,Polska,14-235,Temple City,Clairton,P.O. Box 601, 5787 Tincidunt St.
63,Polska,86-027,Vincennes,Columbia,1984 Accumsan Street
64,Polska,02-306,San Luis Obispo,Bellingham,Ap #155-2860 Cursus Avenue
65,Polska,09-410,Nashville,Pierre,639-7803 Facilisis Rd.
66,Polska,15-918,Portsmouth,Flint,Ap #837-5984 Sem. Avenue
67,Polska,48-434,Los Angeles,Palos Verdes Estates,P.O. Box 673, 4876 Urna, Rd.
68,Polska,73-027,Parma,Alhambra,9466 Pede St.
69,Polska,06-286,Turlock,Oakland,Ap #735-7647 Quis Road
70,Polska,92-446,Minot,Bremerton,315-5440 Purus Street
