id_karta_platnicza,numer_karty_platniczej,data_waznosci_karty,CVC
1,1312007458755040,03/22,438
2,4530849254623037,12/21,258
3,6723271937077322,06/21,724
4,3113477091138396,05/21,592
5,2824761839162893,10/22,147
6,2770871000397825,04/22,232
7,7378118370263391,06/21,175
8,9081081388214387,12/21,202
9,7925305579860951,05/21,816
10,6168456660048118,05/23,460
11,7142711672533304,03/22,155
12,9955626665783155,01/22,652
13,7279851494809998,12/22,557
14,5471137920175758,10/22,537
15,4706200000098543,01/22,313
16,6563483559208756,02/22,836
17,1882982981425680,02/22,376
18,2416066374120939,12/22,770
19,6858739264954279,09/22,431
20,3000374405444103,07/21,771
21,8118372237517957,04/23,956
22,5179685020233924,12/22,183
23,0883120638586537,07/22,337
24,3309439673697706,05/21,630
25,3784312908436770,01/23,832
26,6415188786482019,12/22,866
27,6308307843514378,06/21,576
28,3041728100220094,12/21,178
29,7715559163432062,01/22,486
30,8966177308492570,02/22,670
31,3612775217289779,01/22,455
32,4011429822393029,10/22,253
33,5791018308078418,01/23,660
34,3383105509539786,08/21,759
35,9788097165684217,11/21,170
36,4910519148835632,07/22,566
37,2349505199307446,07/21,605
38,5274322258891414,07/21,850
39,0095185482939491,03/22,275
40,3546704695000810,06/22,824
41,7162655594086211,03/22,673
42,8862558568489251,04/23,883
43,8744338324535224,01/22,875
44,5943402992143931,01/22,471
45,7476890436661410,07/22,928
46,4507499532574948,09/21,776
47,0671018779180135,07/22,210
48,0000643117166872,10/22,672
49,9377047237363574,09/22,600
50,7091118374257841,11/21,672
51,2219547811485965,05/21,960
52,8706081338189802,11/21,963
53,9747658043918996,08/21,144
54,6697035215017014,12/21,482
55,8196140159055112,11/22,145
56,8234450468483874,07/21,892
57,4534693748860943,12/21,382
58,9780258632506442,03/23,801
59,9962711572525813,11/22,714
60,1510252759201091,09/21,735
61,2883456982895410,09/22,712
62,2225074286287005,05/23,863
63,4940923728249861,07/21,192
64,1296472750765605,03/23,164
65,1434153392263375,12/22,327
66,4006856612327342,12/21,716
67,8321713977353594,10/21,607
68,6313035353695389,05/21,626
69,0674552805400963,12/21,223
70,0345609304794390,07/22,161
71,3565461872846040,05/21,550
72,0659064758048184,07/21,782
73,4946828764704211,04/22,835
74,0145994033228967,04/22,478
75,2560325039341153,09/21,616
76,1255389517574900,03/22,607
77,0386415767920433,07/21,101
78,9688295779670283,02/22,167
79,4820587518041038,07/22,902
80,1086766446720778,07/22,144
81,7495903955983804,03/22,762
82,7134670301170254,10/22,273
83,1425370363168930,12/21,375
84,8608010281545750,12/21,959
85,0470734992832119,12/21,349
86,0031222768428422,11/22,242
87,3047040882002312,03/22,787
88,3505374793216456,04/23,904
89,2633526638050785,09/22,855
90,4858651977324251,09/21,652
91,8784422473259008,01/22,691
92,9510498813065642,10/21,597
93,9672155315414009,11/21,347
94,1410233398041547,10/22,401
95,6882297601711025,05/22,303
96,2856154106744002,08/21,925
97,2589291902028256,04/23,823
98,1836932776779704,03/22,621
99,0651654682939747,03/22,164
100,1743419298993509,11/21,177
101,1666359288936043,09/22,519
102,8867156159659775,06/21,471
103,4893182128172650,09/21,331
104,3189238998673112,06/22,137
105,4386415687237569,04/23,421
106,5274162836948092,12/22,918
107,6701388616186548,03/22,316
108,9091928976079936,07/22,931
109,5974591787226417,02/22,460
