id_klienta,imie,nazwisko,wiek,pesel,telefon,id_karta_platnicza,id_dokumentu,id_prawo_jazdy,id_adres
1,Elijah,Talley,19,93107780349,(+48)938254873,1,1,1,380
2,Erin,Long,51,54247147457,(+48)236360263,2,2,2,53
3,Sophia,Wagner,50,76849405829,(+48)643399112,3,3,3,365
4,Jorden,Vazquez,64,75184141836,(+48)776359324,4,4,4,350
5,Lacy,Good,54,65840728346,(+48)751934511,5,5,5,119
6,Jarrod,Peters,32,79645001596,(+48)578302087,6,6,6,94
7,Phoebe,Bonner,53,22756474349,(+48)940099757,7,7,7,281
8,Vance,Sanford,64,96514677852,(+48)590934828,8,8,8,450
9,Harper,Shaffer,68,13563443004,(+48)462258408,9,9,9,240
10,Ainsley,Collier,71,94788669926,(+48)261671028,10,10,10,191
11,Jane,Gilmore,30,93044133601,(+48)577460197,11,11,11,106
12,Leslie,Lara,38,67102521825,(+48)348619766,12,12,12,270
13,Brian,Haney,53,23349876697,(+48)949032667,13,13,13,261
14,Dora,Simon,47,04156518952,(+48)940510204,14,14,14,138
15,Audrey,Sharp,49,74227177593,(+48)254040334,15,15,15,221
16,Unity,Mason,46,25946803225,(+48)033892117,16,16,16,322
17,Daryl,Crane,57,65104756241,(+48)921254868,17,17,17,114
18,Isabella,Shaw,46,50222498009,(+48)574209392,18,18,18,292
19,Ebony,Rodriguez,22,14948784716,(+48)065966813,19,19,19,128
20,Gil,Horn,28,74337138522,(+48)401883589,20,20,20,60
21,Quynn,Marquez,61,57180508041,(+48)755617958,21,21,21,49
22,Ivor,Mullins,43,95312988607,(+48)657461637,22,22,22,56
23,Winifred,Thomas,70,84799339970,(+48)168028894,23,23,23,293
24,Jayme,Bowman,62,04513302882,(+48)826713730,24,24,24,310
25,Imogene,Gibbs,47,23987058400,(+48)841139312,25,25,25,496
26,Tara,Griffith,39,67421773072,(+48)878729714,26,26,26,458
27,Flavia,Rollins,70,69168404147,(+48)314722900,27,27,27,395
28,Reagan,Gamble,59,55148935842,(+48)792217958,28,28,28,241
29,Deborah,Cabrera,59,22709075580,(+48)373968138,29,29,29,189
30,Magee,Barr,23,65908080350,(+48)367815853,30,30,30,135
31,Joseph,Alexander,27,63090006607,(+48)415440476,31,31,31,122
32,Maisie,Spears,66,54279295695,(+48)696266908,32,32,32,257
33,Jerry,Farmer,52,90226101529,(+48)548008678,33,33,33,122
34,Yoshio,Holden,71,94749009031,(+48)741904858,34,34,34,397
35,Lenore,Wilkinson,54,26446836311,(+48)211115399,35,35,35,239
36,Shelly,Wolfe,70,75750713467,(+48)151782813,36,36,36,38
37,Germaine,Leach,52,64513500086,(+48)157404119,37,37,37,152
38,Wang,Rush,48,89893359801,(+48)151269875,38,38,38,291
